Jogador;Time;Idade;Gols;Assist;xG;xA;PrgC;PrgP;PrgR;TklDef;TklMc;TklAta;Cortes;PassCmp;PassAtt;DistTot;DistPrg;Pos
Ben White;Arsenal;24;0.06;0.15;0.04;0.09;1.89;7.35;3.66;0.68;0.88;0.21;0.65;55.7;66.1;922.4;315.6;Lat
Ruben Neves;Wolves;25;0.18;0.03;0.16;0.05;0.84;6.51;0.54;0.93;0.99;0.45;1.49;51.6;62.9;1093.9;299.7;Vol
Granit Xhaka;Arsenal;29;0.21;0.21;0.14;0.16;1.26;5.89;5.26;0.33;0.54;0.15;0.45;41.5;49.0;679.9;177.7;Mei
Gibbs White;Nott Forest;22;0.15;0.24;0.18;0.25;2.09;3.97;4.76;0.21;0.21;0.36;0.42;20.0;32.7;324.8;119.1;Mei
Ivan Toney;Brentford;26;0.61;0.12;0.57;0.16;0.43;2.41;5.03;0.12;0.27;0.30;0.43;14.3;24.0;181.3;62.1;Ata
Adam Smith;Bournemouth;31;0.00;0.03;0.02;0.04;0.86;2.54;1.65;0.83;0.58;0.09;0.76;29.1;38.7;496.4;210.9;Lat
Brennan Johnson;Nott Forest;21;0.25;0.09;0.26;0.10;2.70;0.92;4.75;0.55;0.25;0.25;0.15;8.93;15.5;129.4;24.8;Ata
Alexander Arnold;Liverpool;23;0.06;0.28;0.07;0.35;1.32;7.23;4.28;0.98;0.49;0.28;1.32;67.3;89.6;1279.7;502.2;Lat
Douglas Luiz;Aston Villa;24;0.18;0.18;0.09;0.14;1.48;4.55;1.08;0.95;0.98;0.31;1.23;46.0;55.8;815.1;200.8;Mei
Bryan Mbeumo;Brentford;22;0.28;0.25;0.30;0.24;2.04;2.72;7.28;0.15;0.40;0.25;0.40;20.3;30.7;324.0;100.2;Ata
Rodri;Man City;26;0.06;0.19;0.14;0.13;2.35;8.05;1.15;0.87;0.87;0.34;1.02;84.3;92.5;1546.4;369.5;Vol
Tim Ream;Fullham;34;0.03;0.00;0.01;0.00;0.87;4.41;0.06;0.47;0.37;0.09;1.27;51.6;59.7;1106.2;389.5;Zag
Son Heung min;Tottenham;30;0.31;0.19;0.31;0.20;2.55;2.46;6.11;0.22;0.25;0.28;0.40;21.2;28.3;290.2;78.1;Ata
Mac Allister;Brighton;23;0.31;0.06;0.38;0.13;2.15;5.42;2.40;0.69;1.25;0.25;0.69;49.4;57.4;776.8;195.0;Mei
Tyrick Mitchell;Crystal Palace;22;0.00;0.06;0.02;0.04;0.72;3.30;2.80;1.34;0.72;0.16;1.31;35.9;50.1;568.1;257.4;Lat
Marcus Rashford;Man United;24;0.53;0.16;0.48;0.11;2.66;2.75;7.66;0.22;0.25;0.16;0.22;19.6;25.5;277.7;68.1;Ata
Harrison Reed;Fullham;27;0.09;0.13;0.06;0.13;0.94;3.21;3.36;0.53;0.66;0.19;0.60;31.1;40.3;486.4;115.1;Lat
Dominic Solanke;Bournemouth;24;0.19;0.22;0.29;0.12;2.20;1.48;5.25;0.25;0.09;0.13;0.19;11.4;16.8;146.9;34.8;Ata
van Dijk;Liverpool;31;0.10;0.03;0.08;0.04;0.32;4.03;0.25;0.41;0.35;0.10;0.98;74.4;82.3;1445.2;529.2;Zag
Eric Dier;Tottenham;28;0.06;0.03;0.05;0.04;0.29;2.78;0.45;0.51;0.38;0.06;1.12;54.6;63.9;1041.3;406.3;Zag
Tomas Soucek;WestHam;27;0.06;0.10;0.13;0.06;0.35;2.81;1.66;1.31;0.93;0.22;1.69;22.7;31.8;370.7;109.2;Vol
Mathias Jensen;Brentford;26;0.16;0.19;0.07;0.16;0.68;4.53;2.48;0.90;0.96;0.39;1.03;35.0;50.4;696.6;271.9;Mei
Wout Faes;Leicester;24;0.03;0.06;0.04;0.02;0.35;2.39;0.06;0.90;0.84;0.06;1.32;51.0;59.5;942.3;334.5;Zag
Gabriel Martinelli;Arsenal;21;0.48;0.16;0.30;0.29;4.00;3.03;11.3;0.42;0.39;0.19;0.29;26.9;35.7;418.1;84.2;Ata
Joachim Andersen;Crystal Palace;26;0.03;0.00;0.06;0.04;0.52;3.40;0.23;0.97;0.39;0.00;0.78;50.5;63.8;1180.4;450.2;Zag
Cheick Doucoure;Crystal Palace;22;0.00;0.10;0.05;0.06;0.58;4.55;0.55;1.30;1.07;0.13;1.82;33.7;40.5;566.0;173.8;Zag
Erling Haaland;Man City;22;1.17;0.26;0.92;0.17;1.14;1.88;4.90;0.00;0.06;0.03;0.10;11.7;16.2;143.0;30.7;Ata
Philip Billing;Bournemouth;26;0.23;0.03;0.16;0.10;1.21;2.61;3.29;0.68;1.07;0.29;1.01;26.5;34.4;385.1;103.1;Mei
Michael Olise;Crystal Palace;20;0.07;0.36;0.10;0.29;3.64;4.36;7.97;0.92;0.85;0.13;0.85;32.3;46.6;550.6;164.7;Ata
Bruno Guimaraes;Newcastle;24;0.13;0.17;0.09;0.13;1.35;7.33;1.39;0.89;1.52;0.17;1.19;45.8;55.0;793.3;218.9;Vol
Jordan Ayew;Crystal Palace;30;0.13;0.10;0.11;0.11;2.75;2.09;5.76;0.76;0.66;0.76;0.50;22.4;29.0;288.4;56.5;Ata
Solly March;Brighton;28;0.23;0.23;0.27;0.28;3.64;4.47;11.8;0.53;0.56;0.66;0.79;31.5;43.4;564.6;133.3;Mei
Harvey Barnes;Leicester;24;0.43;0.03;0.30;0.10;3.32;2.62;8.54;0.27;0.47;0.13;0.27;18.2;26.1;237.6;66.6;Ata
Jack Harrison;Leeds United;25;0.17;0.23;0.16;0.17;3.42;3.42;8.47;0.17;0.50;0.70;0.73;24.3;38.2;358.0;136.7;Ata
Ethan Pinnock;Brentford;29;0.10;0.00;0.10;0.03;0.07;1.73;0.53;1.10;0.40;0.23;1.17;30.5;38.3;564.4;190.4;Zag
John McGinn;Aston Villa;27;0.03;0.10;0.08;0.09;1.14;4.68;2.21;0.90;0.97;0.33;0.80;26.9;34.4;481.1;161.5;Mei
Andreas Pereira;Fullham;26;0.13;0.20;0.24;0.17;1.77;4.05;4.45;0.10;0.20;0.30;0.20;23.4;35.7;437.4;141.6;Mei
Pervis Estupinan;Brighton;24;0.03;0.17;0.06;0.18;3.06;5.29;6.16;1.21;0.64;0.20;1.25;53.1;64.8;769.1;237.7;Lat
Fabinho;Liverpool;28;0.00;0.07;0.02;0.07;0.51;5.42;1.31;0.61;1.35;0.24;1.25;54.4;61.7;881.9;207.5;Vol
Joelinton;Newcastle;25;0.20;0.03;0.24;0.08;2.16;4.39;5.07;1.22;0.88;0.27;1.62;35.0;42.8;512.8;135.6;Mei
Mykolenko;Everton;23;0.00;0.00;0.02;0.04;1.05;3.39;2.44;1.22;0.64;0.10;1.56;32.7;43.8;515.2;199.1;Lat
Walker Peters;Southampton;25;0.03;0.00;0.03;0.05;3.47;3.30;3.88;1.16;0.82;0.10;0.92;34.7;45.0;505.6;197.6;Lat
